Question,Question Text,Answer,Answer Text,Count
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,82,Idaho,11
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,83,Wyoming,2
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,84,Colorado,33
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,86,Arizona,12
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,87,Utah,17
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,88,Nevada,6
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,91,Washington,34
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,92,Oregon,28
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,93,California,167
S32W.Q14,Where were you living before you entered the Army?,2,"In a small town (fewer than 2,500 people)",558
S32W.Q14,Where were you living before you entered the Army?,1,On a farm or in the country,975
S32W.Q14,Where were you living before you entered the Army?,3,"In a town (with between 2,500 and 25,000 people)",915
S32W.Q14,Where were you living before you entered the Army?,4,"In a city (between 25,000 and 100,000 people)",854
S32W.Q14,Where were you living before you entered the Army?,0,No answer,21
S32W.Q14,Where were you living before you entered the Army?,5,"In a large city (more than 100,000 people)",1470
S32W.Q15,Think for a minute about the different sergeants and corporals you have served with. How fair do most of them seem to be with their men?,2,About half are; half are not,1254
S32W.Q15,Think for a minute about the different sergeants and corporals you have served with. How fair do most of them seem to be with their men?,1,Most of them are fair,3184
S32W.Q15,Think for a minute about the different sergeants and corporals you have served with. How fair do most of them seem to be with their men?,0,No answer,22
S32W.Q15,Think for a minute about the different sergeants and corporals you have served with. How fair do most of them seem to be with their men?,3,Most of them are not fair,279
S32W.Q15,Think for a minute about the different sergeants and corporals you have served with. How fair do most of them seem to be with their men?,4,Undecided,54
S32W.Q16,What is your own rank or grade?,2,Corporal or Technician 5th Grade,625
S32W.Q16,What is your own rank or grade?,1,Private or Private First Class,3369
S32W.Q16,What is your own rank or grade?,3,Sergeant (any grade) or Technician 3rd or 4th Grade,774
S32W.Q16,What is your own rank or grade?,0,No code or no data,5
S32W.Q16,What is your own rank or grade?,4,No answer,20
S32W.Q17,"If you are a private, do you want to be a noncom?",2,No,591
S32W.Q17,"If you are a private, do you want to be a noncom?",1,Yes,2311
S32W.Q17,"If you are a private, do you want to be a noncom?",4,Inapplicable (already Noncom),1385
S32W.Q17,"If you are a private, do you want to be a noncom?",0,No answer,76
S32W.Q17,"If you are a private, do you want to be a noncom?",3,Undecided,430
S32W.Q18,Do you want to be a commissioned officer?,2,No,1696
S32W.Q18,Do you want to be a commissioned officer?,1,Yes,2045
S32W.Q18,Do you want to be a commissioned officer?,4,No answer,76
S32W.Q18,Do you want to be a commissioned officer?,0,No code or no data,8
S32W.Q18,Do you want to be a commissioned officer?,3,Undecided,968
S32W.Q18A.1,"(Do you want to be a commissioned officer?) If no, why not?",2,Not chosen,4540
S32W.Q18A.1,"(Do you want to be a commissioned officer?) If no, why not?",1,Lack of education,253
S32W.Q18A.10,"(Do you want to be a commissioned officer?) If no, why not?",2,Not chosen,4528
S32W.Q18A.10,"(Do you want to be a commissioned officer?) If no, why not?",1,"Repetition of check list answer (I'd rather be a private or a Non-Com, I don't want to be a C.O. etc.)",265
S32W.Q18A.11,"(Do you want to be a commissioned officer?) If no, why not?",2,Not chosen,4531
S32W.Q18A.11,"(Do you want to be a commissioned officer?) If no, why not?",1,Other,262
S32W.Q18A.12,"(Do you want to be a commissioned officer?) If no, why not?",2,Not chosen,1622
S32W.Q18A.12,"(Do you want to be a commissioned officer?) If no, why not?",1,"Inapplicable, no comment",3171
S32W.Q18A.2,"(Do you want to be a commissioned officer?) If no, why not?",2,Not chosen,4698
S32W.Q18A.2,"(Do you want to be a commissioned officer?) If no, why not?",1,"Health, physical condition, or age disqualify",95
S32W.Q18A.3,"(Do you want to be a commissioned officer?) If no, why not?",2,Not chosen,4770
S32W.Q18A.3,"(Do you want to be a commissioned officer?) If no, why not?",1,"Not in Army long enough, need more experience",23
S32W.Q18A.4,"(Do you want to be a commissioned officer?) If no, why not?",2,Not chosen,4711
S32W.Q18A.4,"(Do you want to be a commissioned officer?) If no, why not?",1,Not good at (or don't want to) handling men or giving orders,82
S32W.Q18A.5,"(Do you want to be a commissioned officer?) If no, why not?",2,Not chosen,4613
S32W.Q18A.5,"(Do you want to be a commissioned officer?) If no, why not?",1,"Simple statement of ""I'm not qualified"" - but no mention of reasons why not qualified",180
S32W.Q18A.6,"(Do you want to be a commissioned officer?) If no, why not?",2,Not chosen,4526
S32W.Q18A.6,"(Do you want to be a commissioned officer?) If no, why not?",1,Too much responsibility or work,267
S32W.Q18A.7,"(Do you want to be a commissioned officer?) If no, why not?",2,Not chosen,4708
S32W.Q18A.7,"(Do you want to be a commissioned officer?) If no, why not?",1,Would lose or be limited in choice of friends because of rank,85
S32W.Q18A.8,"(Do you want to be a commissioned officer?) If no, why not?",2,Not chosen,4659
S32W.Q18A.8,"(Do you want to be a commissioned officer?) If no, why not?",1,"Dislike or criticism of C.O.'s, including criticism of training of C.O.'s",134
S32W.Q18A.9,"(Do you want to be a commissioned officer?) If no, why not?",2,Not chosen,4744
S32W.Q18A.9,"(Do you want to be a commissioned officer?) If no, why not?",1,Belief that being a C.O. means staying in Army after the war,49
S32W.Q19,When did you come into the Army?,2,9/1/42 - 11/30/42; 3 months up to 6 months,1422
S32W.Q19,When did you come into the Army?,1,12/1/42 - present; 3 months or less,815
S32W.Q19,When did you come into the Army?,5,Before 3/1/41; over 2 years,453
S32W.Q19,When did you come into the Army?,4,3/1/41 - 2/28/42; 1 year up to 2 years,752
S32W.Q19,When did you come into the Army?,3,3/1/42 - 8/31/42; 6 months up to 1 year,1279
S32W.Q19,When did you come into the Army?,0,No answer,72
S32W.Q2,How far did you go in school?,2,Finished 4th grade,67
S32W.Q2,How far did you go in school?,1,Less than 4th grade,64
S32W.Q2,How far did you go in school?,4,Finished 6th grade,181
S32W.Q2,How far did you go in school?,0,No answer,15
S32W.Q2,How far did you go in school?,3,Finished 5th grade,107
S32W.Q2,How far did you go in school?,5,Finished 7th grade,317
S32W.Q2,How far did you go in school?,6,Finished 8th grade,815
S32W.Q2,How far did you go in school?,7,Some high school or trade school,1241
S32W.Q2,How far did you go in school?,8,Graduated from high school,1328
S32W.Q2,How far did you go in school?,9,Some college but did not finish,513
S32W.Q2,How far did you go in school?,10,Graduated from college,145
S32W.Q20,How interested are you in your Army job?,2,A little but not much,1225
S32W.Q20,How interested are you in your Army job?,1,Very much interested,3064
S32W.Q20,How interested are you in your Army job?,0,No code or no data,2
S32W.Q20,How interested are you in your Army job?,3,Not interested at all,450
S32W.Q20,How interested are you in your Army job?,4,No answer,52
S32W.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",2,Non-combat - professional and clerical,974
S32W.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",1,Combat jobs,910
S32W.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",3,Non-combat - skilled,1139
S32W.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",8,No answer,328
S32W.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",7,Unclassified,123
S32W.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",4,"Non-combat - semi-skilled, unskilled",987
S32W.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",0,No code or no data,3
S32W.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",5,Combat and technical,276
S32W.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",6,Basic training,53
S32W.Q22,"Do the men in your company or battery cooperate, and work well together?",2,"Yes, most of the time",2937
S32W.Q22,"Do the men in your company or battery cooperate, and work well together?",1,"Yes, all of the time",1100
S32W.Q22,"Do the men in your company or battery cooperate, and work well together?",0,No code or no data,3
S32W.Q22,"Do the men in your company or battery cooperate, and work well together?",3,"No, often do not",513
S32W.Q22,"Do the men in your company or battery cooperate, and work well together?",4,"No, almost never do",131
S32W.Q22,"Do the men in your company or battery cooperate, and work well together?",5,Undecided,88
S32W.Q22,"Do the men in your company or battery cooperate, and work well together?",6,No answer,21
S32W.Q23,"In general, what sort of a time do you have in the Army?",2,It is about fifty-fifty,2572
S32W.Q23,"In general, what sort of a time do you have in the Army?",1,I have a pretty good time,1616
S32W.Q23,"In general, what sort of a time do you have in the Army?",3,I have a pretty rotten time,576
S32W.Q23,"In general, what sort of a time do you have in the Army?",0,No code or no data,2
S32W.Q23,"In general, what sort of a time do you have in the Army?",4,No answer,27
S32W.Q24,Do you usually feel that what you are doing in the Army is worthwhile or not?,2,I usually feel it is worthwhile,3193
S32W.Q24,Do you usually feel that what you are doing in the Army is worthwhile or not?,1,I usually feel it is not worthwhile,1009
S32W.Q24,Do you usually feel that what you are doing in the Army is worthwhile or not?,3,Undecided,556
S32W.Q24,Do you usually feel that what you are doing in the Army is worthwhile or not?,0,No code or no data,2
S32W.Q24,Do you usually feel that what you are doing in the Army is worthwhile or not?,4,No answer,33
S32W.Q25,Do you feel proud of your company or battery?,2,"Yes, fairly proud",1572
S32W.Q25,Do you feel proud of your company or battery?,1,"Yes, very proud",2411
S32W.Q25,Do you feel proud of your company or battery?,3,"No, not proud",512
S32W.Q25,Do you feel proud of your company or battery?,0,No code or no data,2
S32W.Q25,Do you feel proud of your company or battery?,4,Undecided,271
S32W.Q25,Do you feel proud of your company or battery?,5,No answer,25
S32W.Q26,Are you ever worried and upset?,2,I am sometimes,2698
S32W.Q26,Are you ever worried and upset?,1,I am hardly ever worried and upset,1372
S32W.Q26,Are you ever worried and upset?,3,I am often worried and upset,697
S32W.Q26,Are you ever worried and upset?,0,No code or no data,2
S32W.Q26,Are you ever worried and upset?,4,No answer,24
S32W.Q27,Do you think you can make good in the Army?,2,I am not so sure I can make good,1034
S32W.Q27,Do you think you can make good in the Army?,1,I feel pretty sure I can make good,3294
S32W.Q27,Do you think you can make good in the Army?,3,Undecided,427
S32W.Q27,Do you think you can make good in the Army?,0,No code or no data,2
S32W.Q27,Do you think you can make good in the Army?,4,No answer,36
S32W.Q28,"How would you say you felt most of the time, satisfied and in good spirits or dissatisfied and in low spirits?",2,I am up half the time and down half the time,2156
S32W.Q28,"How would you say you felt most of the time, satisfied and in good spirits or dissatisfied and in low spirits?",1,Satisfied and in good spirits,2112
S32W.Q28,"How would you say you felt most of the time, satisfied and in good spirits or dissatisfied and in low spirits?",3,Dissatisfied and in low spirits,484
S32W.Q28,"How would you say you felt most of the time, satisfied and in good spirits or dissatisfied and in low spirits?",0,No code or no data,2
S32W.Q28,"How would you say you felt most of the time, satisfied and in good spirits or dissatisfied and in low spirits?",4,No answer,39
S32W.Q29,How much longer do you think this war will last?,2,One year,663
S32W.Q29,How much longer do you think this war will last?,1,"Less than a year, ""1943""",640
S32W.Q29,How much longer do you think this war will last?,5,"Over two to less than three years, ""1945""",322
S32W.Q29,How much longer do you think this war will last?,11,"Don't know, undecided",576
S32W.Q29,How much longer do you think this war will last?,12,No answer,314
S32W.Q29,How much longer do you think this war will last?,10,Indefinite answer with no indication of time (will last until we stop it),119
S32W.Q29,How much longer do you think this war will last?,4,Two years,752
S32W.Q29,How much longer do you think this war will last?,3,"Over one to less than two years, ""1944""",918
S32W.Q29,How much longer do you think this war will last?,7,Over three years,224
S32W.Q29,How much longer do you think this war will last?,0,No code or no data,2
S32W.Q29,How much longer do you think this war will last?,6,Three years,178
S32W.Q29,How much longer do you think this war will last?,8,Indefinite answer indicating a short time (not long),44
S32W.Q29,How much longer do you think this war will last?,9,Indefinite answer indicating a long time (several years yet),41
S32W.Q3,How did you come into the Army?,2,I volunteered,1180
S32W.Q3,How did you come into the Army?,1,I was drafted,3370
S32W.Q3,How did you come into the Army?,0,No answer,80
S32W.Q3,How did you come into the Army?,3,I was in the National Guard,163
S32W.Q30,"If it were up to you, what kind of outfit would you rather be in?",2,In a non-combat outfit overseas,711
S32W.Q30,"If it were up to you, what kind of outfit would you rather be in?",1,In a combat outfit overseas,1964
S32W.Q30,"If it were up to you, what kind of outfit would you rather be in?",3,In an outfit that will stay in the United States,2021
S32W.Q30,"If it were up to you, what kind of outfit would you rather be in?",4,No answer,95
S32W.Q30,"If it were up to you, what kind of outfit would you rather be in?",0,No code or no data,2
S32W.Q31,"If your outfit went overseas, would you rather have an actual fighting job or have some other job?",2,I would rather have some other job,1594
S32W.Q31,"If your outfit went overseas, would you rather have an actual fighting job or have some other job?",1,I would rather have an actual fighting job,2402
S32W.Q31,"If your outfit went overseas, would you rather have an actual fighting job or have some other job?",3,Undecided,745
S32W.Q31,"If your outfit went overseas, would you rather have an actual fighting job or have some other job?",0,No code or no data,2
S32W.Q31,"If your outfit went overseas, would you rather have an actual fighting job or have some other job?",4,No answer,50
S32W.Q32,"If it were up to you to choose, do you think you could do more for your country as a soldier or as a worker in a war job?",2,As a war worker,2258
S32W.Q32,"If it were up to you to choose, do you think you could do more for your country as a soldier or as a worker in a war job?",1,As a soldier,1942
S32W.Q32,"If it were up to you to choose, do you think you could do more for your country as a soldier or as a worker in a war job?",0,No code or no data,2
S32W.Q32,"If it were up to you to choose, do you think you could do more for your country as a soldier or as a worker in a war job?",3,Undecided,552
S32W.Q32,"If it were up to you to choose, do you think you could do more for your country as a soldier or as a worker in a war job?",4,No answer,39
S32W.Q33,Do you think there will be another war in the next 25 years or so?,2,No,1604
S32W.Q33,Do you think there will be another war in the next 25 years or so?,1,Yes,1794
S32W.Q33,Do you think there will be another war in the next 25 years or so?,3,Undecided,1349
S32W.Q33,Do you think there will be another war in the next 25 years or so?,0,No code or no data,6
S32W.Q33,Do you think there will be another war in the next 25 years or so?,4,No answer,40
S32W.Q34,"If you think there will be another war, who do you think will be fighting whom?",2,Dark against light races on an international scale,42
S32W.Q34,"If you think there will be another war, who do you think will be fighting whom?",1,Civil war or race war in U.S.,49
S32W.Q34,"If you think there will be another war, who do you think will be fighting whom?",12,"No answer, don't know, inapplicable",2949
S32W.Q34,"If you think there will be another war, who do you think will be fighting whom?",9,"Russia is involved, but everything else is indeterminable",212
S32W.Q34,"If you think there will be another war, who do you think will be fighting whom?",11,Unclassifiable combinations,322
S32W.Q34,"If you think there will be another war, who do you think will be fighting whom?",8,"World War III - any line up like World Wars I and II (same set up as last time, those defeated now fighting the winners)",318
S32W.Q34,"If you think there will be another war, who do you think will be fighting whom?",6,Russia with no allies against any other nation or combination of nations,795
S32W.Q34,"If you think there will be another war, who do you think will be fighting whom?",3,"Russia with dark allies only (China, Japan, Africa, India) against any other nation or combination of nations",29
S32W.Q34,"If you think there will be another war, who do you think will be fighting whom?",4,Russia with one or more of Axis nations besides Japan against any other nation or combination of nations,32
S32W.Q34,"If you think there will be another war, who do you think will be fighting whom?",5,Russia with one or more of allied nations besides China against any other nation or combination of nations,24
S32W.Q34,"If you think there will be another war, who do you think will be fighting whom?",7,Communism vs. capitalism,5
