Question,S32NQuestionLabels.Value,Answer,Count,Answer Text
S32N.Q42,Do you think this war is as much your affair as it is anybody else's?,2,1565,No
S32N.Q42A,Why or why not?,2,509,"Yes, idealistic aims (we're all fighting for freedom, we got to see that this doesn't happen again)"
S32N.Q43,How do you think this war will come out?,2,2417,"We will win, but it won't be a complete victory"
S32N.Q44,After the war do you think that you yourself will have more rights and privileges or less rights and privileges than you had before the war?,2,477,Less rights and privileges than before the war
S32N.Q45,Do you think that one of the things the United States is fighting for is to give everybody a fair chance to make a decent living?,2,1334,No
S32N.Q46,Do you think that the United States is fighting mainly for the benefit of the rich people in this country?,2,4220,No
S32N.Q47,Do you think that one of the things the United States is fighting for is to protect the right of free speech for everyone?,2,1212,No
S32N.Q48,"If Germany and Japan were to offer to stop fighting now and to give up the countries they have taken over, do you think we should talk peace with them or not?",2,4608,We should keep on fighting until they are crushed
S32N.Q5.1,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",2,7028,Not chosen
S32N.Q5.10,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",2,7301,Not chosen
S32N.Q5.11,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",2,5700,Not chosen
S32N.Q5.12,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",2,7047,Not chosen
S32N.Q5.13,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",2,7113,Not chosen
S32N.Q5.2,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",2,6991,Not chosen
S32N.Q5.3,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",2,7063,Not chosen
S32N.Q5.4,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",2,6896,Not chosen
S32N.Q5.5,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",2,7167,Not chosen
S32N.Q5.6,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",2,6730,Not chosen
S32N.Q5.7,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",2,7038,Not chosen
S32N.Q5.8,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",2,5949,Not chosen
S32N.Q5.9,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",2,7165,Not chosen
S32N.Q50,Which of these things do you think Negroes back home in civilian life should try hardest to do now?,2,2266,Try hardest to win the war first
S32N.Q51,Do you think that after the war you will be treated better or worse by white people than you were before the war?,2,3281,About the same
S32N.Q51A,Do you think that after the war you will be treated better or worse by white people than you were before the war: why?,2,61,"Better: an historical answer (gains were made after last war, present improvements already visible because we are now more intelligent or educated)"
S32N.Q52,Do you think that in the long run white civilians will be better off or worse off after the war than they were before?,2,831,Worse off after the war than before
S32N.Q53,Do you think that in the long run Negro civilians will be better off or worse off after the war than they were before?,2,723,Worse off after the war than before
S32N.Q54,Do you think that after the war Negroes in this country will have more rights and privileges or less rights and privileges than they had before the war?,2,492,They will have less rights and privileges than before the war
S32N.Q54A,Do you think that after the war Negroes in this country will have more rights and privileges or less rights and privileges than they had before the war: why?,2,171,"More: historical answer (gains were made after last war, present improvements already visible)"
S32N.Q55,Do you think that in the long run white soldiers will be better off or worse off after they get out of the Army than they were before they went into the Army?,2,396,Worse off
S32N.Q56,Do you think that in the long run Negro soldiers will be better off or worse off after they get out of the Army than they were before they went into the Army?,2,853,Worse off
S32N.Q57,Do you think most Negroes are doing more than their share or less than their share to help win the war?,2,3775,Doing just about their share
S32N.Q58,Do you think that most Negroes are being given a fair chance to do as much as they want to do to help win the war?,2,4023,No
S32N.Q59,Do you think most white people are doing more than their share or less than their share to help win the war?,2,4420,Doing just about their share
S32N.Q6,What kind of a chance is the Army giving you to show what you can do?,2,2404,A fairly good chance
S32N.Q60,Do you think that Negro soldiers who are being trained as combat troops will get a chance to use their combat training against the enemy?,2,3009,A good many will
S32N.Q61,How fair do you think the white newspapers are in reporting news about what Negroes are doing in the war?,2,2532,"Usually fair, but sometimes not"
S32N.Q62,Do you think a Negro soldier with ability has a good chance for promotion in the Army?,2,3208,A fairly good chance
S32N.Q63,"Suppose your company lieutenants were all Negro officers, would you rather have them come from the North or from the South?",2,484,Negro lieutenants from the South
S32N.Q64,"Suppose your company lieutenants were all white officers, but they could come either from the North or from the South, which would you rather have?",2,181,White lieutenants from the South
S32N.Q65,"Suppose your company could get its lieutenants from the North only, but they could be either white or Negro, which would you rather have?",2,4106,Negro lieutenants from the North
S32N.Q66,"Suppose your company could get Southern officers only. If so, would you rather have white or Negro lieutenants?",2,5153,Negro lieutenants from the South
S32N.Q67,Do you think that a Negro soldier with ability has a good chance to become a commissioned officer in the Army?,2,3546,A fairly good chance
S32N.Q68,Are the lieutenants in your company white or Negro?,2,2729,Some are white and some are Negro
S32N.Q69,Do you think town police usually treat Negro soldiers fairly or unfairly?,2,2381,About half are; half are not
S32N.Q7,How do you feel about the bus service to and from camp for the soldiers in your outfit?,2,1484,It is fairly good
S32N.Q70,Do you think white M.P.'s usually treat Negro soldiers fairly or unfairly?,2,2795,About half are; half are not
S32N.Q71,Do you think Negro M.P.'s usually treat Negro soldiers fairly or unfairly?,2,3428,About half are; half are not
S32N.Q72,Do you think the length of the war will make any difference in the way Negroes will be treated after the war?,2,2515,They will be treated better if we have a long war
S32N.Q73,Does your camp have separate PX's for Negro and white soldiers?,2,2325,No
S32N.Q74,Do you think it is a good idea or a poor idea for white and Negro soldiers to have separate PX's in Army camps?,2,3823,It is a poor idea
S32N.Q75,Does your camp have separate service clubs for white and Negro soldiers?,2,1501,No
S32N.Q76,Do you think it is a good idea or a poor idea for Negro and white soldiers to have separate service clubs in Army camps?,2,3107,It is a poor idea
S32N.Q77,Do you think white and Negro soldiers should be in separate outfits or should they be together in the same outfits?,2,2765,They should be together in the same outfits
S32N.Q7A.1,Write any comments you have about bus service here:,2,5788,Not chosen
S32N.Q7A.2,Write any comments you have about bus service here:,2,7402,Not chosen
S32N.Q7A.3,Write any comments you have about bus service here:,2,7423,Not chosen
S32N.Q7A.4,Write any comments you have about bus service here:,2,6518,Not chosen
S32N.Q7A.5,Write any comments you have about bus service here:,2,6834,Not chosen
S32N.Q7A.6,Write any comments you have about bus service here:,2,7199,Not chosen
S32N.Q7A.7,Write any comments you have about bus service here:,2,3314,Not chosen
S32N.Q8,Do you think you might want to stay in the Army after the war?,2,1681,"Yes, I might want to, but I'm not sure"
S32N.Q9,After the war do you think you would like to come back to your old outfit for two weeks of Army training every year?,2,1810,"Yes, I might want to, but I'm not sure"
S32N.V1,Cross-section identification,2,4450,All other cases
S32N.V2,Cross-section identification,2,4450,All other cases
S32N.V78,"Personal adjustment score? E. Derived from Q.20, Q.23, Q.24, Q.26, Q.27, Q.28.",2,1554,Score of 2
S32N.V79,"Score: gripe items? E. Derived from Q.6, Q.15, Q.22, Q.25, Q.62.",2,1651,
S32N.V80,"Optimism-pessimism score: E. Derived from Q.40, Q.44, Q.51, Q.53, Q.54, Q.56.",2,1070,
S32N.V81,"Equality of treatment: intra-Army? E. Derived from Q.62, Q.67, Q.70.",2,1380,Score of 2
S32N.V82,"Equality of treatment: extra-Army? E. Derived from Q.58, Q.61, Q.69.",2,2196,
S32N.V83,"Officer preference types? E. Derived from Q.63, Q.64, Q.65, Q.66.",2,1002,
S32N.V84,"Types of segregation: E. Derived from Q.74, Q.76, Q.77.",2,948,
S32N.V85,"Combat types, personal preference: E. Derived from Q.30, Q.31, Q.32.",2,415,"Combat outfit overseas, actual fighting job, other"
S32N.V86,Camp and North-South origin of men:,2,32,Tuskegee: Border State
S32N.V87,Camp identification:,2,385,"Rucker, Ala."
S32N.V88,Army General Classification Test group and type of administration of questionnaire:,2,1913,AGCT V: classroom administration
S32N.VI,"Cross-section identification: E. While the complete sample for S-32 included a representative cross-section of 3000 Negro and 4800 white troops (AMS-032W) in the U.S. to be used for cross-section comparisons, the Negro sample was augmented to over 7400 to provide additional cases of better educated and of Northern Negroes in order to permit comparisons of these subgroups within the Negro sample (AMS-032N)",2,4450,All other cases
S32N.Q1,How old were you on your last birthday?,1,262,19 years or younger
S32N.Q10,"If you could go to any Army camp you wanted to, would you rather stay here or would you rather go to some other camp?",1,1745,I would rather stay here
S32N.Q12,"In general, where would you like best to be stationed?",1,4659,In a camp in the North
S32N.Q12A.1,"In general, where would you like best to be stationed? Why?",1,1475,"Closer to home, or family"
S32N.Q12A.10,"In general, where would you like best to be stationed? Why?",1,1585,No comment
S32N.Q12A.2,"In general, where would you like best to be stationed? Why?",1,607,"Habit (used to the South, or North, born there, etc.)"
S32N.Q12A.3,"In general, where would you like best to be stationed? Why?",1,2619,"(Negro only) racial and/or sectional differences (better treatment in North, discrimination in South, etc.)"
S32N.Q12A.4,"In general, where would you like best to be stationed? Why?",1,661,Prefer climate
S32N.Q12A.5,"In general, where would you like best to be stationed? Why?",1,85,Adventure (want to see places where I haven't been)
S32N.Q12A.6,"In general, where would you like best to be stationed? Why?",1,8,Farther from home (so I won't be close enough to home to feel homesick)
S32N.Q12A.7,"In general, where would you like best to be stationed? Why?",1,558,Restatement of preference without reasons given (I just like the South better)
S32N.Q12A.8,"In general, where would you like best to be stationed? Why?",1,23,Better Army training (specific military training)
S32N.Q12A.9,"In general, where would you like best to be stationed? Why?",1,339,Other
S32N.Q14,Where were you living before you entered the Army?,1,1067,On a farm or in the country
S32N.Q15,Think for a minute about the different sergeants and corporals you have served with. How fair do most of them seem to be with their men?,1,4163,Most of them are fair
S32N.Q16,What is your own rank or grade?,1,5484,Private or Private First Class
S32N.Q17,"If you are a private, do you want to be a noncom?",1,4174,Yes
S32N.Q18,Do you want to be a commissioned officer?,1,3810,Yes
S32N.Q18A.1,"(Do you want to be a commissioned officer?) If no, why not?",1,541,Lack of education
S32N.Q18A.10,"(Do you want to be a commissioned officer?) If no, why not?",1,294,"Repetition of check list answer (I'd rather be a private or a Non-Com, I don't want to be a C.O., etc.)"
S32N.Q18A.11,"(Do you want to be a commissioned officer?) If no, why not?",1,197,"(Negro only) racial objections (Negro officers have no prestige; treated like privates; receive prejudiced treatment, have little opportunity for promotion, etc.)"
S32N.Q18A.12,"(Do you want to be a commissioned officer?) If no, why not?",1,372,Other
S32N.Q18A.13,"(Do you want to be a commissioned officer?) If no, why not?",1,5021,"Inapplicable, no comment"
S32N.Q18A.2,"(Do you want to be a commissioned officer?) If no, why not?",1,107,"Health, physical condition, or age disqualify"
S32N.Q18A.3,"(Do you want to be a commissioned officer?) If no, why not?",1,37,"Not in Army long enough, need more experience"
S32N.Q18A.4,"(Do you want to be a commissioned officer?) If no, why not?",1,64,Not good at (or don't want to) handling men or giving orders
S32N.Q18A.5,"(Do you want to be a commissioned officer?) If no, why not?",1,310,"Simple statement of ""I'm not qualified"" - but no mention of reasons why not qualified"
S32N.Q18A.6,"(Do you want to be a commissioned officer?) If no, why not?",1,372,Too much responsibility or work
S32N.Q18A.7,"(Do you want to be a commissioned officer?) If no, why not?",1,51,Would lose or be limited in choice of friends because of rank
S32N.Q18A.8,"(Do you want to be a commissioned officer?) If no, why not?",1,81,"Dislike or criticism of C.O.'s, including criticism of training of C.O.'s"
S32N.Q18A.9,"(Do you want to be a commissioned officer?) If no, why not?",1,55,Belief that being a C.O. means staying in Army after the war
S32N.Q19,When did you come into the Army?,1,999,12/1/42 - present; 3 months or less
S32N.Q2,How far did you go in school?,1,776,Less than 4th grade
S32N.Q20,How interested are you in your Army job?,1,5362,Very much interested
S32N.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",1,1638,Combat job
S32N.Q22,"Do the men in your company or battery cooperate, and work well together?",1,2345,"Yes, all of the time"
S32N.Q23,"In general, what sort of a time do you have in the Army?",1,1950,I have a pretty good time
S32N.Q24,Do you usually feel that what you are doing in the Army is worthwhile or not?,1,1563,I usually feel it is not worthwhile
S32N.Q25,Do you feel proud of your company or battery?,1,4043,"Yes, very proud"
S32N.Q26,Are you ever worried and upset?,1,1675,I am hardly ever worried and upset
S32N.Q27,Do you think you can make good in the Army?,1,4705,I feel pretty sure I can make good
S32N.Q28,"How would you say you felt most of the time, satisfied and in good spirits or dissatisfied and in low spirits?",1,2561,Satisfied and in good spirits
S32N.Q29,How much longer do you think this war will last?,1,1120,"Less than a year or just ""1943"""
S32N.Q3,How did you come into the Army?,1,6074,I was drafted
S32N.Q30,"If it were up to you, what kind of outfit would you rather be in?",1,1277,In a combat outfit overseas
S32N.Q31,"If your outfit went overseas, would you rather have an actual fighting job or have some other job?",1,2166,I would rather have an actual fighting job
S32N.Q32,"If it were up to you to choose, do you think you could do more for your country as a soldier or as a worker in a war job?",1,1938,As a soldier
S32N.Q33,Do you think there will be another war in the next 25 years or so?,1,2732,Yes
S32N.Q34,"If you think there will be another war, who do you think will be fighting whom?",1,329,Civil war or race war in U.S.
S32N.Q35,"Up to now, has the war made things better or worse for your family and friends back home (such things as jobs, pay, and living conditions)?",1,1262,Things are a lot better
S32N.Q36,Are you:,1,2917,"Single, and not engaged"
S32N.Q37,Were you married before or after entering the Army?,1,4697,I'm not married
S32N.Q38,How many children do you have?,1,4086,I'm not married
S32N.Q39,Is your wife now expecting a baby?,1,4677,I'm not married
S32N.Q4,What branch of the service are you in? (If your branch is not listed write it out.),1,5,Cavalry
S32N.Q40,Do you think that after the war soldiers in your outfit will find it easier or harder to get jobs than they did before the war?,1,1930,Easier than before the war
S32N.Q41,Do you think that after the war the training you are getting in the Army will or will not help you to get a better job than you had before you went in the Army?,1,4351,Will help me to get a better job
S32N.Q42,Do you think this war is as much your affair as it is anybody else's?,1,4909,Yes
S32N.Q42A,Why or why not?,1,2585,"Yes, statement of patriotism, duty, etc. (this is my country, I am an American, protect my country and home)"
S32N.Q43,How do you think this war will come out?,1,3485,It will be a complete victory for us
S32N.Q44,After the war do you think that you yourself will have more rights and privileges or less rights and privileges than you had before the war?,1,3189,More rights and privileges than before the war
S32N.Q45,Do you think that one of the things the United States is fighting for is to give everybody a fair chance to make a decent living?,1,4754,Yes
S32N.Q46,Do you think that the United States is fighting mainly for the benefit of the rich people in this country?,1,1831,Yes
S32N.Q47,Do you think that one of the things the United States is fighting for is to protect the right of free speech for everyone?,1,5130,Yes
S32N.Q48,"If Germany and Japan were to offer to stop fighting now and to give up the countries they have taken over, do you think we should talk peace with them or not?",1,1934,We should talk peace now
S32N.Q5.1,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",1,414,Cavalry
S32N.Q5.10,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",1,141,Chemical Warfare
S32N.Q5.11,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",1,1742,Undesignated code (possibly Air Corps)
S32N.Q5.12,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",1,395,"Other branches, undesignated"
S32N.Q5.13,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",1,329,No answer to Q.5
S32N.Q5.2,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",1,451,Engineers
S32N.Q5.3,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",1,379,Infantry
S32N.Q5.4,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",1,546,Field Artillery
S32N.Q5.5,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",1,275,Signal Corps
S32N.Q5.6,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",1,712,Medical Corps
S32N.Q5.7,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",1,404,Ordnance Department
S32N.Q5.8,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",1,1493,Quartermaster Corps
S32N.Q5.9,"If you could have a free chance to choose your branch of service now, which one would you rather be in?",1,277,Armored Force (Tank Corps)
S32N.Q50,Which of these things do you think Negroes back home in civilian life should try hardest to do now?,1,2009,Try hardest to make things better for the Negro
S32N.Q51,Do you think that after the war you will be treated better or worse by white people than you were before the war?,1,2195,Better
S32N.Q51A,Do you think that after the war you will be treated better or worse by white people than you were before the war: why?,1,229,"Better: a militant answer (we will take it, demand it; fight for it)"
S32N.Q52,Do you think that in the long run white civilians will be better off or worse off after the war than they were before?,1,2674,Better off after the war than before
S32N.Q53,Do you think that in the long run Negro civilians will be better off or worse off after the war than they were before?,1,3066,Better off after the war than before
S32N.Q54,Do you think that after the war Negroes in this country will have more rights and privileges or less rights and privileges than they had before the war?,1,3115,They will have more rights and privileges than before the war
S32N.Q54A,Do you think that after the war Negroes in this country will have more rights and privileges or less rights and privileges than they had before the war: why?,1,353,"More rights and privileges: militant answer (we will take it, demand it; fight for it)"
S32N.Q55,Do you think that in the long run white soldiers will be better off or worse off after they get out of the Army than they were before they went into the Army?,1,3875,Better off
S32N.Q56,Do you think that in the long run Negro soldiers will be better off or worse off after they get out of the Army than they were before they went into the Army?,1,3125,Better off
S32N.Q57,Do you think most Negroes are doing more than their share or less than their share to help win the war?,1,2842,Doing more than their share
S32N.Q58,Do you think that most Negroes are being given a fair chance to do as much as they want to do to help win the war?,1,2571,Yes
S32N.Q59,Do you think most white people are doing more than their share or less than their share to help win the war?,1,921,Doing more than their share
S32N.Q6,What kind of a chance is the Army giving you to show what you can do?,1,1943,A very good chance
S32N.Q60,Do you think that Negro soldiers who are being trained as combat troops will get a chance to use their combat training against the enemy?,1,2290,Most of them will
S32N.Q61,How fair do you think the white newspapers are in reporting news about what Negroes are doing in the war?,1,888,Almost always fair
S32N.Q62,Do you think a Negro soldier with ability has a good chance for promotion in the Army?,1,2334,A very good chance
S32N.Q63,"Suppose your company lieutenants were all Negro officers, would you rather have them come from the North or from the South?",1,3742,Negro lieutenants from the North
S32N.Q64,"Suppose your company lieutenants were all white officers, but they could come either from the North or from the South, which would you rather have?",1,5799,White lieutenants from the North
S32N.Q65,"Suppose your company could get its lieutenants from the North only, but they could be either white or Negro, which would you rather have?",1,667,White lieutenants from the North
S32N.Q66,"Suppose your company could get Southern officers only. If so, would you rather have white or Negro lieutenants?",1,359,White lieutenants from the South
S32N.Q67,Do you think that a Negro soldier with ability has a good chance to become a commissioned officer in the Army?,1,2439,A very good chance
S32N.Q68,Are the lieutenants in your company white or Negro?,1,3576,All of them are white
S32N.Q69,Do you think town police usually treat Negro soldiers fairly or unfairly?,1,1654,Town police are usually fair
S32N.Q7,How do you feel about the bus service to and from camp for the soldiers in your outfit?,1,861,It is very good
S32N.Q70,Do you think white M.P.'s usually treat Negro soldiers fairly or unfairly?,1,1417,White M.P.'s are usually fair
S32N.Q71,Do you think Negro M.P.'s usually treat Negro soldiers fairly or unfairly?,1,2607,Negro M.P.'s are usually fair
S32N.Q72,Do you think the length of the war will make any difference in the way Negroes will be treated after the war?,1,897,They will be treated better if we have a short war
S32N.Q73,Does your camp have separate PX's for Negro and white soldiers?,1,4507,Yes
S32N.Q74,Do you think it is a good idea or a poor idea for white and Negro soldiers to have separate PX's in Army camps?,1,2728,It is a good idea
S32N.Q75,Does your camp have separate service clubs for white and Negro soldiers?,1,5229,Yes
S32N.Q76,Do you think it is a good idea or a poor idea for Negro and white soldiers to have separate service clubs in Army camps?,1,3210,It is a good idea
S32N.Q77,Do you think white and Negro soldiers should be in separate outfits or should they be together in the same outfits?,1,2610,They should be in separate outfits
S32N.Q7A.1,Write any comments you have about bus service here:,1,1654,"Criticisms of operation (too crowded, too infrequent, too small, wait too long, schedules irregular, prices too high, etc.)"
S32N.Q7A.2,Write any comments you have about bus service here:,1,40,Civilians treated better than soldiers
S32N.Q7A.3,Write any comments you have about bus service here:,1,19,Officers treated better than enlisted men
S32N.Q7A.4,Write any comments you have about bus service here:,1,924,"Whites treated better than Negroes, ""segregation"", any racial comment"
S32N.Q7A.5,Write any comments you have about bus service here:,1,608,Merely a repetitious restatement of check-list answers (service is awful)
S32N.Q7A.6,Write any comments you have about bus service here:,1,243,Other
S32N.Q7A.7,Write any comments you have about bus service here:,1,4128,No comment
S32N.Q8,Do you think you might want to stay in the Army after the war?,1,431,"Yes, I would want to very much"
S32N.Q9,After the war do you think you would like to come back to your old outfit for two weeks of Army training every year?,1,2831,"Yes, I would want to very much"
S32N.V1,Cross-section identification,1,2992,Cross-section cases
S32N.V2,Cross-section identification,1,2992,Cross-section cases
S32N.V78,"Personal adjustment score? E. Derived from Q.20, Q.23, Q.24, Q.26, Q.27, Q.28.",1,1071,Score of 1
S32N.V79,"Score: gripe items? E. Derived from Q.6, Q.15, Q.22, Q.25, Q.62.",1,1755,
S32N.V80,"Optimism-pessimism score: E. Derived from Q.40, Q.44, Q.51, Q.53, Q.54, Q.56.",1,663,
S32N.V81,"Equality of treatment: intra-Army? E. Derived from Q.62, Q.67, Q.70.",1,3018,Score of 1
S32N.V82,"Equality of treatment: extra-Army? E. Derived from Q.58, Q.61, Q.69.",1,2003,
S32N.V83,"Officer preference types? E. Derived from Q.63, Q.64, Q.65, Q.66.",1,1999,
S32N.V84,"Types of segregation: E. Derived from Q.74, Q.76, Q.77.",1,1664,
S32N.V85,"Combat types, personal preference: E. Derived from Q.30, Q.31, Q.32.",1,632,"Combat outfit overseas, actual fighting job, soldier"
S32N.V86,Camp and North-South origin of men:,1,186,Tuskegee: Northern
S32N.V87,Camp identification:,1,340,"Tuskegee, Ala."
S32N.V88,Army General Classification Test group and type of administration of questionnaire:,1,3452,"AGCT I, II, III, IV: classroom administration"
S32N.VI,"Cross-section identification: E. While the complete sample for S-32 included a representative cross-section of 3000 Negro and 4800 white troops (AMS-032W) in the U.S. to be used for cross-section comparisons, the Negro sample was augmented to over 7400 to provide additional cases of better educated and of Northern Negroes in order to permit comparisons of these subgroups within the Negro sample (AMS-032N)",1,2992,Cross-section cases
S32N.Q1,How old were you on your last birthday?,3,2679,21 to 24 years
S32N.Q10,"If you could go to any Army camp you wanted to, would you rather stay here or would you rather go to some other camp?",3,571,Undecided
S32N.Q12,"In general, where would you like best to be stationed?",3,657,In a camp in the West
S32N.Q14,Where were you living before you entered the Army?,3,1062,"In a town (with between 2,500 and 25,000 people)"
S32N.Q15,Think for a minute about the different sergeants and corporals you have served with. How fair do most of them seem to be with their men?,3,976,Most of them are not fair
S32N.Q16,What is your own rank or grade?,3,882,Sergeant (any grade) or Technician 3rd or 4th Grade
S32N.Q17,"If you are a private, do you want to be a noncom?",3,563,Undecided
S32N.Q18,Do you want to be a commissioned officer?,3,1222,Undecided
S32N.Q19,When did you come into the Army?,3,2107,3/1/42 - 8/31/42; 6 months up to 1 year
S32N.Q2,How far did you go in school?,3,497,Finished 5th grade
S32N.Q20,How interested are you in your Army job?,3,612,Not interested at all
S32N.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",3,1043,"Non-combat, skilled"
S32N.Q22,"Do the men in your company or battery cooperate, and work well together?",3,615,"No, often do not"
S32N.Q23,"In general, what sort of a time do you have in the Army?",3,1763,I have a pretty rotten time
S32N.Q24,Do you usually feel that what you are doing in the Army is worthwhile or not?,3,709,Undecided
